,mlb_name,pitch_type,quality,ball_pct,strike_pct,foul_pct,in_play_pct,pitch_count,avg_qual,pitch_name
117651,Justin Verlander,SL,0.19691521961184963,0.3421859039836568,0.29519918283963226,0.1807967313585291,0.18181818181818182,979.0,0.20810453817692648,Slider
117659,Justin Verlander,FT,-0.11833333333333329,0.25,0.16666666666666666,0.16666666666666666,0.4166666666666667,12.0,0.09296613721316117,Two-seam Fastball
117683,Justin Verlander,CH,0.051988304093567285,0.38011695906432746,0.2631578947368421,0.10526315789473684,0.25146198830409355,171.0,0.12765397399004674,Changeup
120353,Justin Verlander,FC,-0.17679999999999998,0.32,0.08,0.24,0.36,25.0,0.1565383301837312,Cutter
122135,Brad Peacock,SL,0.2779411764705886,0.3438133874239351,0.3762677484787018,0.12981744421906694,0.15010141987829614,986.0,0.20810453817692648,Slider
122140,Brad Peacock,CH,0.04074074074074086,0.4166666666666667,0.24074074074074073,0.12962962962962962,0.21296296296296297,108.0,0.12765397399004674,Changeup
122141,Brad Peacock,KC,0.07657754010695152,0.5401069518716578,0.22994652406417113,0.11764705882352941,0.11229946524064172,187.0,0.20281804454510868,Knuckle-curve
122154,Brad Peacock,FF,0.23069553805774407,0.37270341207349084,0.3438320209973753,0.1732283464566929,0.11023622047244094,762.0,0.1603646846323446,Four-seam Fastball
122157,Brad Peacock,FT,0.15890652557319307,0.3421516754850088,0.2945326278659612,0.19400352733686066,0.1693121693121693,567.0,0.09296613721316117,Two-seam Fastball
124745,Blaine Hardy,FF,0.11682656826568212,0.3763837638376384,0.28413284132841327,0.16236162361623616,0.17712177121771217,271.0,0.1603646846323446,Four-seam Fastball
124746,Blaine Hardy,CH,0.24354037267080703,0.32919254658385094,0.34782608695652173,0.14285714285714285,0.18012422360248448,161.0,0.12765397399004674,Changeup
124749,Blaine Hardy,CU,-0.03855421686746984,0.4578313253012048,0.1686746987951807,0.13253012048192772,0.24096385542168675,83.0,0.17778582610313318,Curveball
124761,Blaine Hardy,FC,0.061948051948052044,0.37662337662337664,0.2597402597402597,0.14285714285714285,0.22077922077922077,77.0,0.1565383301837312,Cutter
125337,Jandel Gustave,SL,0.021153846153846172,0.5192307692307693,0.19230769230769232,0.15384615384615385,0.1346153846153846,52.0,0.20810453817692648,Slider
125344,Jandel Gustave,FF,0.1358181818181819,0.38181818181818183,0.23636363636363636,0.2545454545454545,0.12727272727272726,55.0,0.1603646846323446,Four-seam Fastball
125450,Alex Wilson,FT,0.04345572354211631,0.3779697624190065,0.20302375809935205,0.20734341252699784,0.21166306695464362,463.0,0.09296613721316117,Two-seam Fastball
125451,Alex Wilson,FF,0.17123076923076871,0.3076923076923077,0.28717948717948716,0.2153846153846154,0.18974358974358974,195.0,0.1603646846323446,Four-seam Fastball
125452,Alex Wilson,SL,0.12023655913978487,0.35268817204301073,0.25591397849462366,0.18064516129032257,0.210752688172043,465.0,0.20810453817692648,Slider
125465,Alex Wilson,CU,0.11756756756756763,0.44594594594594594,0.2702702702702703,0.13513513513513514,0.14864864864864866,74.0,0.17778582610313318,Curveball
126023,Alex Wilson,CH,-0.026666666666666644,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,12.0,0.12765397399004674,Changeup
126659,Shane Greene,FT,0.1174486803519069,0.3651026392961877,0.28005865102639294,0.16862170087976538,0.18621700879765396,682.0,0.09296613721316117,Two-seam Fastball
126660,Shane Greene,FC,0.22889952153110035,0.3349282296650718,0.3253588516746411,0.17703349282296652,0.16267942583732056,209.0,0.1565383301837312,Cutter
126663,Shane Greene,SL,0.27899182561308034,0.3760217983651226,0.3869209809264305,0.12806539509536785,0.10899182561307902,367.0,0.20810453817692648,Slider
126695,Shane Greene,CU,-0.05833333333333329,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.16666666666666666,12.0,0.17778582610313318,Curveball
127939,Justin Wilson,FF,0.22405162738496145,0.40404040404040403,0.30078563411896747,0.20202020202020202,0.0931537598204265,891.0,0.1603646846323446,Four-seam Fastball
127940,Justin Wilson,FC,0.14586805555555546,0.34375,0.22569444444444445,0.2638888888888889,0.16666666666666666,288.0,0.1565383301837312,Cutter
127949,Justin Wilson,SL,0.12456521739130412,0.43478260869565216,0.2463768115942029,0.17391304347826086,0.14492753623188406,138.0,0.20810453817692648,Slider
127953,Justin Wilson,FT,0.2513333333333334,0.4,0.4,0.06666666666666667,0.13333333333333333,15.0,0.09296613721316117,Two-seam Fastball
129273,Martin Perez,FF,0.09250000000000076,0.3888888888888889,0.2619047619047619,0.17195767195767195,0.17724867724867724,756.0,0.1603646846323446,Four-seam Fastball
129277,Martin Perez,FT,0.06479242534595873,0.3503277494537509,0.24617625637290605,0.1755280407865987,0.22796795338674436,1373.0,0.09296613721316117,Two-seam Fastball
129278,Martin Perez,CH,0.07151761517615164,0.3875338753387534,0.24254742547425473,0.13821138211382114,0.23170731707317074,738.0,0.12765397399004674,Changeup
129287,Martin Perez,CU,0.10302107728337204,0.41920374707259955,0.28337236533957844,0.11943793911007025,0.17798594847775176,427.0,0.17778582610313318,Curveball
129329,Martin Perez,SL,0.043548387096774145,0.5032258064516129,0.20967741935483872,0.14838709677419354,0.13870967741935483,310.0,0.20810453817692648,Slider
132877,Jake Junis,FF,0.14806331471135967,0.30726256983240224,0.26256983240223464,0.23277467411545624,0.1973929236499069,537.0,0.1603646846323446,Four-seam Fastball
132878,Jake Junis,FC,0.19090909090909094,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,11.0,0.1565383301837312,Cutter
132879,Jake Junis,SL,0.20403790087463697,0.37755102040816324,0.3556851311953353,0.10349854227405247,0.16326530612244897,686.0,0.20810453817692648,Slider
132880,Jake Junis,CU,0.20674157303370766,0.42696629213483145,0.43820224719101125,0.02247191011235955,0.11235955056179775,89.0,0.17778582610313318,Curveball
132902,Jake Junis,CH,0.1514285714285714,0.3609022556390977,0.3007518796992481,0.14285714285714285,0.19548872180451127,133.0,0.12765397399004674,Changeup
132989,Jake Junis,SI,0.015751533742331354,0.3665644171779141,0.2116564417177914,0.17177914110429449,0.25,652.0,0.11394481591195386,Sinker
134989,A.J. Griffin,FF,0.11360635696821657,0.33496332518337407,0.25794621026894865,0.21638141809290953,0.19070904645476772,818.0,0.1603646846323446,Four-seam Fastball
